AwardID,AwardTitle,Startdate,Enddate,AwardAmount,Type,Investigators,Institutions
1400294,Collaborative Research: Developing a Constructive Logic-Based Theory of Value-Based Systems Engineering,8/1/14,7/31/16,150000,Standard Grant,Kevin Sullivan;,University of Virginia Main Campus
1400349,PostDoctoral Research Fellowship,9/1/14,8/31/18,150000,Fellowship,Jesse Wolfson;,Wolfson Jesse
1400351,Expanding the National Center for Welding Education,9/1/14,8/31/18,816513,Continuing grant,Monica Pfarr;Duncan Estep;W. Richard Polanin;jack sample;,Lorain County Community College
1400354,Next Generation Multi-craft Manufacturing Support Technician,10/1/14,9/30/17,741509,Standard Grant,Dick Bickerstaff;Andrew Rezin;,Columbus State Community College
1400355,Triangle Lectures in Combinatorics,4/1/14,3/31/16,20800,Standard Grant,J. Scott Provan;Ezra Miller;Patricia Hersh;Gabor Pataki;Nathan Reading;Seth Sullivant;,North Carolina State University
1400361,Southeastern Analysis Meeting: SEAM 2014,1/1/14,12/31/14,23175,Standard Grant,Mishko Mitkovski;,Clemson University
1400370,NSF Postdoctoral Fellowship in Biology for FY 2014,8/1/14,7/31/17,207000,Fellowship,Andrew Tredennick;,Tredennick Andrew T
1400382,Northeast LSAMP Bridge to the Doctorate,6/1/14,5/31/16,986990,Standard Grant,Mun Choi;John Cunningham;,University of Massachusetts Amherst
1400387,GOALI: Improving the Reliability of Aluminum Structures During Fire Through Computational Modeling,6/15/14,5/31/17,349148,Standard Grant,Michael Shields;Pawel Woelke;,Johns Hopkins University
1400390,A-infinity structures and derived categories in algebraic geometry,9/1/14,8/31/17,154999,Standard Grant,Alexander Polishchuk;,University of Oregon Eugene
1400391,A Sensitivity Approach to Assessing Model Uncertainty for Stochastic Systems,7/1/14,6/30/15,224947,Standard Grant,Henry Lam;,Trustees of Boston University
1400394,Collaborative Research: Optimal Design of Flaw-tolerant Structures and Material Microarchitectures via Stochastic Topology Optimization,8/1/14,7/31/17,147979,Standard Grant,James Guest;,Johns Hopkins University
1400399,Greater Philadelphia LSAMP Bridge to the Doctorate (Cohort XII) Program,8/1/14,7/31/16,987000,Standard Grant,Mazen Shahin;Stephen Cox;Mark Greenberg;Alton Thompson;James Herbert;,Drexel University
1400408,"ReVAMP: Revising Vacuum technology, an Advanced Manufacturing Program",10/1/14,9/30/17,793736,Standard Grant,Delmer Smith;Nancy Louwagie;,Normandale Community College
1400416,Acquisition of a Field Emission Electron Microprobe for Geological Analysis,3/15/14,2/29/16,999000,Continuing grant,Yingwei Fei;John Armstrong;Anat Shahar;Conel Alexander;Steven Shirey;,Carnegie Institution of Washington
