AwardID,AwardTitle,Startdate,Enddate,AwardAmount,Type,Investigators,Institutions
1410172,Cooperativity in Nucleic-Acid Protein Interactions,9/1/14,8/31/17,169072,Continuing grant,Ralf Bundschuh;,Ohio State University
1410174,The Formation and Architecture of Circumbinary Systems,10/1/14,9/30/17,43572,Continuing grant,Kaitlin Kratter;,University of Arizona
1410175,SusChEM: Strained Core/Shell Nanoparticles with Non-precious Metal Core and Precious Metal Shell,9/1/14,8/31/17,300000,Standard Grant,Chao Wang;,Johns Hopkins University
1410184,Collaborative Research: Toward a global timeline of biological and ocean geochemical change during the early Cambrian,9/1/14,8/31/17,64673,Continuing grant,Steve Wang;,Swarthmore College
1410190,Starless Cores and Clumps: The Physical and Kinematic Structure of the Incipient Phase of Star Formation,9/15/14,8/31/17,37183,Continuing grant,Yancy Shirley;,University of Arizona
1410192,Tunable Nitric Oxide Releasing Polymeric Materials,8/1/14,7/31/17,150000,Continuing grant,Megan Frost;,Michigan Technological University
1410199,Directing and Probing DNA Origami Self-Assembly on Dynamic Surfaces,7/15/14,6/30/17,170000,Continuing grant,Tao Ye;,University of California - Merced
1410200,Digitization TCN: Collaborative Research: The Key to the Cabinets: Building and Sustaining a Research Database for a Global Biodiversity Hotspot,8/15/14,7/31/18,65990,Standard Grant,Leslie Goertzen;John Clark;Kelly Major;,Auburn University
1410209,Superconformal Growth of Thin Films by Two-Component CVD,7/1/14,6/30/17,420000,Standard Grant,John Abelson;,University of Illinois at Urbana-Champaign
1410214,Mixed Molten Metals as Solvents for Materials Synthesis,9/1/14,8/31/17,167424,Continuing grant,Susan Latturner;,Florida State University
1410215,Iron Pyrite {100}: Investigation into an Electronically Frustrated Material,7/1/14,6/30/17,155981,Continuing grant,Conrad Stoldt;Joel Eaves;,University of Colorado at Boulder
1410219,Collaborative Research: RUI: Overproduction and Harvesting of Methylated Triterpenes in a Heterologous Host,12/1/14,11/30/17,135000,Standard Grant,Rico Del Sesto;,Dixie State University
1410223,Responsive and Healable Materials Constructed via Dynamic-Covalent Bonds,6/1/14,5/31/16,226000,Continuing grant,Brent Sumerlin;,University of Florida
1410232,Bioinspired Glycomaterials from Lipid and Polymer Tehalose Conjugates,8/15/14,7/31/17,304907,Continuing grant,Dennis Bong;,Ohio State University
1410237,Electric Field Effects on the Ferromagnetism of Dynamically Phase Separated Manganites,7/15/14,6/30/17,256014,Continuing grant,Amlan Biswas;,University of Florida
1410239,RUI: Thermodynamics of RNA Structural Motifs,6/1/14,5/31/17,229136,Standard Grant,Martin Serra;,Allegheny College
1410240,Polymetric Hydrogel Microfibers with Internal Alignment for 3D Myelination,7/15/14,6/30/17,136680,Continuing grant,Hai-Quan Mao;Ahmet Hoke;,Johns Hopkins University
1410242,Elucidating the Thermodynamic and Kinetic Properties of High Temperature Materials with First-Principles Statistical Mechanics,9/1/14,8/31/17,300000,Standard Grant,Anton Van der Ven;,University of California-Santa Barbara
1410246,Field-theoretic simulations with excluded volume correlations,9/1/14,8/31/17,260000,Standard Grant,Robert Riggleman;,University of Pennsylvania
1410247,"Heat, Charge, and Spin: Thermal Spintronics in Ferromagnetic Films and Nanostructures",8/1/14,7/31/17,266175,Continuing grant,Barry Zink;,University of Denver
1410249,Collaborative Research: Energy Transfer in Strongly Coupled Hybrid Organic-Inorganic Systems,7/1/14,6/30/17,240000,Standard Grant,Vinod Menon;,CUNY City College
1410253,Programmable pattern transformation of reconfigurable polymer membranes,7/1/14,6/30/17,120000,Continuing grant,Shu Yang;,University of Pennsylvania
1410265,Tuning electronic instabilities in triangular surface lattices via subsurface doping,12/15/14,11/30/17,80543,Continuing grant,Paul Snijders;Hanno Weitering;,University of Tennessee Knoxville
1410267,Collaborative research: Two-dimensional wave patterns and physical applications of Kadomtsev-Petviashvili web-solitons,7/1/14,6/30/17,240000,Standard Grant,Yuji Kodama;,Ohio State University
1410272,SusChEM: Resourceful Polymers Derived from Polyhydroxyl Natural Products,8/1/14,7/31/16,291700,Standard Grant,Karen Wooley;,Texas A&M University Main Campus
1410273,Polynomial inclusions: open problems and potential applications,9/1/14,8/31/17,190980,Standard Grant,Liping Liu;,Rutgers University New Brunswick
1410282,Tailoring the Properties of Dilute Nitride Bismide Semiconductor Alloys,7/1/14,6/30/17,226659,Continuing grant,Rachel Goldman;Cagliyan Kurdak;,University of Michigan Ann Arbor
1410288,Digitization TCN: Collaborative Research: The Key to the Cabinets: Building and Sustaining a Research Database for a Global Biodiversity Hotspot,8/15/14,7/31/18,129562,Standard Grant,Austin Mast;,Florida State University
1410290,"Bond Tension, Surface Structure and Adsorption on Bottle-Brush Tethered Polymer Layers",8/15/14,7/31/17,271749,Standard Grant,Mesfin Tsige;,University of Akron
1410297,Laboratory Studies Required to Understand Cometary Emissions: O(1S) and O(1D) Yields from CO2 Photodissociation in the Extreme Ultraviolet,8/15/14,7/31/17,118252,Continuing grant,William Jackson;Tom Slanger;Konstantinos Kalogerakis;,SRI International
1410301,GOALI: Development of Metallic MEMS Materials for Extreme Environments,9/1/14,8/31/17,420000,Standard Grant,Kevin Hemker;Christopher Keimel;,Johns Hopkins University
1410302,Quantum electron solids and interaction-driven phenomena in two- and one-dimensional systems,9/1/14,8/31/17,375000,Standard Grant,Jian Huang;,Wayne State University
1410317,Collaborative Research: Toward a global timeline of biological and ocean geochemical change during the early Cambrian,9/1/14,8/31/17,699683,Continuing grant,Adam Maloof;John Higgins;,Princeton University
1410319,Collaborative Research:The Supernova Rate and Delay Time Distribution in the Local Group,9/15/14,8/31/17,86265,Continuing grant,Carlos Badenes;,University of Pittsburgh
1410320,Investigation into Surface-Modified Electrode Materials for Li-Ion Batteries,8/1/14,7/31/17,240000,Continuing grant,Meilin Liu;,Georgia Tech Research Corporation
1410322,Collaborative Research: Design of Low-Hysteresis High-Susceptibility Materials by Nanodomain Engineering,9/1/14,8/31/17,99285,Continuing grant,Yunzhi Wang;,Ohio State University
1410331,Collaborative Research: Investigation of Deformation Mechanisms Governing the Tensile Ductility of Twinned Metal Nanowires,9/1/14,8/31/17,67759,Continuing grant,Ting Zhu;,Georgia Tech Research Corporation
1410334,Contacts to Layered Dichalcogenide Semiconductors,7/15/14,6/30/17,157291,Continuing grant,Suzanne Mohney;,Pennsylvania State Univ University Park
1410335,Collaborative Research: CDS&E: Experimentally verified nano-oxidation simulations of Cu surfaces,9/1/14,8/31/17,210000,Continuing grant,Graeme Henkelman;,University of Texas at Austin
1410341,Novel Transitional Engineered Liver Models Using Detachable Polyelectrolyte Multilayers,7/15/14,6/30/17,260000,Continuing grant,Padmavathy Rajagopalan;,Virginia Polytechnic Institute and State University
1410343,NMR Studies of Organic and Inorganic Frustrated Quantum Magnets,8/1/14,7/31/17,272277,Continuing grant,Stuart Brown;,University of California-Los Angeles
1410350,RUI-Unconventional Anisotropic Order in Strongly Correlated Fermi Systems,9/1/14,8/31/17,159387,Standard Grant,Orion Ciftja;,Prairie View A & M University
1410353,"Collaborative Research: Bacterial manganese(IV) oxide biomineralization: Mechanism of Mn(II,III) oxidation by the multicopper oxidase complex",8/1/14,7/31/17,181899,Continuing grant,Thomas Spiro;,University of Washington
1410355,Protein Filament Formation in Activating and Modulating Enzymatic DNA Cleavage Specificity,7/1/14,6/30/18,762332,Standard Grant,Nancy Horton;,University of Arizona
1410364,Theoretical Investigations of Low Dimensional Quantum Materials,8/15/14,7/31/17,187871,Continuing grant,Mohit Randeria;,Ohio State University
1410375,Novel properties of multi-component ultra-cold atom systems,9/1/14,8/31/17,200000,Continuing grant,Congjun Wu;,University of California-San Diego
1410378,Structure and Properties of the Twist-Bend Nematic Phase,7/1/14,6/30/17,300324,Continuing grant,Oleg Lavrentovich;,Kent State University
1410387,RUI: Development of Multifunctional Fluorine MRI Contrast Agents Based on Porous Silica Nanoparticles,9/1/14,8/31/17,136500,Standard Grant,Jeremy Steinbacher;,Canisius College
1410389,Northern New Jersey Bridges to the Baccalaureate (NNJ-B2B),8/15/14,7/31/17,499957,Continuing grant,Jacqueline Kineavy;,Passaic County Community College
1410390,RUI: Mutagenesis Studies of Old and New Firefly Luciferases,7/15/14,6/30/18,599386,Standard Grant,Bruce Branchini;,Connecticut College
1410393,SusChEM: Sustainable III-V Alloys Using Non-Toxic Bismuth as an Alternative to HgCdTe,7/1/14,6/30/17,428814,Standard Grant,Yong-Hang Zhang;Shane Johnson;,Arizona State University
1410394,Models of the Photosynthetic Oxygen-Evolving Complex,7/1/14,6/30/17,450002,Standard Grant,George Christou;,University of Florida
1410407,Collaborative Research: GOALI: Graphene THz/IR Optics: Fundamentals and Emerging Photonics Applications,9/1/14,8/31/17,292327,Standard Grant,Jie Shan;,Pennsylvania State Univ University Park
1410411,Collaborative Research: Mechanistic Studies on Fe-type Nitrile Hydration Catalysts,8/15/14,10/31/14,68000,Continuing grant,Brian Bennett;,Medical College of Wisconsin
1410415,"Experimental and Modeling Study of the Optical Properties, Heat and Cold Tolerance, and UV-Resistance of the Eye Lens Crystallins",8/15/14,7/31/17,150000,Continuing grant,Rachel Martin;Douglas Tobias;,University of California-Irvine
1410417,Tuning the Band Structure of Silicene by Surface and Interface Control,7/1/14,6/30/16,109523,Continuing grant,Pengpeng Zhang;,Michigan State University
1410428,Building New Spintronic Materials with Layered Chalcogenides,8/15/14,7/31/17,133377,Continuing grant,David Mandrus;Jiaqiang Yan;,University of Tennessee Knoxville
1410435,Topological Physics and Light Matter Interactions: From Floquet Topological Insulators to Solar Cells,9/1/14,8/31/17,214821,Continuing grant,Gil Refael;,California Institute of Technology
1410438,Thermopower in Organic Molecular Solids,9/1/14,8/31/17,289446,Continuing grant,Michael Chabinyc;,University of California-Santa Barbara
1410439,Digitization TCN: Collaborative Research: The Key to the Cabinets: Building and Sustaining a Research Database for a Global Biodiversity Hotspot,8/15/14,7/31/18,227215,Continuing grant,Michael Windham;Katherine Mathews;Alexander Krings;Alan Weakley;,University of North Carolina at Chapel Hill
1410445,Digitization TCN: Collaborative Research: The Key to the Cabinets: Building and Sustaining a Research Database for a Global Biodiversity Hotspot,8/15/14,7/31/18,83444,Standard Grant,Thomas Sasek;,The University of Louisiana at Monroe
1410450,SusChEM: Environmentally Friendly Microfiber Polycarbonate Meshes for Continuous Oil Retrieval,8/1/14,7/31/17,420000,Standard Grant,Mark Grinstaff;,Trustees of Boston University
1410461,Collaborative Research: Summer School for Integrated Computational Materials Education,9/1/14,8/31/17,185088,Continuing grant,Katsuyo Thornton;Larry Aagesen;,University of Michigan Ann Arbor
1410462,Collaborative Research: Supramolecular Materials by Nucleic Acid Block Copolymer Self-Assembly,7/15/14,6/30/17,150000,Continuing grant,Yaroslava Yingling;,North Carolina State University
1410465,"Building on Success, Pacific Northwest Louis Stokes Alliance for Minority Participation, Phase 2",9/1/14,8/31/19,1458516,Continuing grant,Robert Olsen;Martin Schimpf;John Schneider;Robert Strongin;Ellen Momsen;Ana Mari Cauce;Sharon McGuire;,University of Washington
1410472,"Collaborative Research: RAPID Assessment of 2013 Flood Sedimentation, Button Rock Reservoir, North St. Vrain Watershed, CO",12/15/13,11/30/15,11475,Standard Grant,Ellen Wohl;Sara Rathburn;,Colorado State University
1410475,Collaborative Research: Investigation of Deformation Mechanisms Governing the Tensile Ductility of Twinned Metal Nanowires,9/1/14,8/31/17,78576,Continuing grant,Yong Zhu;,North Carolina State University
1410480,Nanoscale Imaging of Topological Superconductivity in Heterostructures,9/1/14,8/31/17,150000,Continuing grant,Jennifer Hoffman;,Harvard University
1410484,Collaborative Research: Observing the Epoch of Reionization with the Murchison Wide field Array,8/15/14,7/31/17,343404,Standard Grant,Miguel Morales;,University of Washington
1410496,RUI: Electronic Properties of Finite Molecular Layer Transition Metal Dichalcogenides,7/1/14,6/30/17,160015,Continuing grant,Timothy Kidd;Rui He;Andrew Stollenwerk;,University of Northern Iowa
1410503,Collaborative Research: Toward a global timeline of biological and ocean geochemical change during the early Cambrian,9/1/14,8/31/17,377098,Continuing grant,Mark Webster;,University of Chicago
1410504,DNP-enhanced NMR surface characterization,9/1/14,8/31/17,429000,Standard Grant,Chandrasekhar Ramanathan;,Dartmouth College
1410510,Coherent Multidimensional Spectroscopy of the Oxygen Evolving Complex in Photosystem II,6/15/14,5/31/17,639068,Standard Grant,John Wright;,University of Wisconsin-Madison
1410514,A Machine Learning Framework for Acceleration of Materials Prediction,9/1/14,8/31/17,248000,Continuing grant,Alexey Kolmogorov;,SUNY at Binghamton
1410525,Probing Galaxy Formation and Cosmology with Dwarf Galaxies in Voids,8/15/14,7/31/17,82442,Continuing grant,Michael Vogeley;,Drexel University
1410545,Collaborative Research: Multicellular Communication in Gradient Sensing,5/15/15,4/30/18,73334,Continuing grant,Andre Levchenko;,Yale University
1410547,Asymptotic and Spectral Analysis of Applied Non-self-adjoint Problems,8/1/14,7/31/17,135425,Continuing grant,Boris Vainberg;Stanislav Molchanov;,University of North Carolina at Charlotte
1410548,Digitization PEN: Digitization of North American Bryophyte and Lichen Specimens from Two Ohio Herbaria at the University of Cincinnati (CINC),7/1/14,6/30/16,166627,Standard Grant,Steven Rogstad;Corinna Gries;Theresa Culley;Eric Tepe;,University of Cincinnati Main Campus
1410557,SusChEM: Environmentally sustainable concretes enabled by multiscale investigation of ancient Roman concretes,7/1/14,6/30/17,497709,Standard Grant,Paulo Jose Monteiro;Roya Maboudian;,University of California-Berkeley
1410560,Fundamental Understanding on the Role of Structural Defects on Lithiation of Nanoscale Transition Metal Oxides,9/15/14,8/31/17,445658,Standard Grant,Reza Shahbazian-Yassar;,Michigan Technological University
1410564,Development of Multiferroic Nanocomposites for 3D Electroactive Cell Scaffolds,7/15/14,6/30/17,200000,Continuing grant,Christine Schmidt;Jennifer Andrew;,University of Florida
1410568,Directed Self-Assembly of Block Copolymers Under Dynamic and Orthogonal Fields,8/1/14,7/31/18,460000,Standard Grant,Chinedum Osuji;,Yale University
1410569,Nanoparticles with Stainless Interfaces: Void Symmetry Control and New Compositions for Applications in Energy Transfer Storage and Biotechnology,9/1/14,8/31/17,360000,Standard Grant,Mathew Maye;,Syracuse University
1410572,Academic and Research Leadership Symposium for Diversity-Driven Innovation,5/1/14,4/30/15,49711,Standard Grant,Samuel Graham;Raheem Beyah;Baratunde Cola;,Georgia Tech Research Corporation
1410581,Supramolecular Assembly of Charged Nanoparticles: Understanding the Nucleation Process that Connects Kinetic and Equilibrium Behaviors,7/15/14,6/30/17,300000,Standard Grant,Yao Lin;,University of Connecticut
1410583,Quench Dynamics of Low Dimensional Quantum Many Body Systems,10/1/14,9/30/17,200000,Continuing grant,Natan Andrei;,Rutgers University New Brunswick
1410586,Catalyst Project: Computational Research On Music and Audio,1/1/15,12/31/16,199267,Standard Grant,David Heise;,Lincoln University
1410593,Collaborative Research: Multicellular Communication in Gradient Sensing,5/15/15,4/30/18,48600,Continuing grant,Andrew Ewald;,Johns Hopkins University
1410596,Nanocrystal Surface and Interfacial Free Energies on Vicinal Surfaces,9/1/14,8/31/17,140000,Continuing grant,Jian-Min Zuo;Dallas Trinkle;,University of Illinois at Urbana-Champaign
1410597,Atomistic Simulation Investigation on Processing-Structure-Property Relation of Magnetic Metal Alloy Nanostructures,9/1/14,8/31/17,97696,Continuing grant,Guofeng Wang;,University of Pittsburgh
1410599,Resolving competing orders and symmetry-breaking in cuprate and iron pnictide high temperature superconductors using infrared Hall measurements,7/15/14,6/30/17,257378,Standard Grant,John Cerne;,SUNY at Buffalo
1410636,Collaborative Research: Design of Low-Hysteresis High-Susceptibility Materials by Nanodomain Engineering,9/1/14,8/31/17,100000,Continuing grant,Ju Li;,Massachusetts Institute of Technology
1410639,CDS&E: Quantum Monte Carlo Methods for Electron Correlations and Spin-Orbit Effects in Low-Dimensional Materials,7/15/14,6/30/17,172000,Continuing grant,Lubos Mitas;,North Carolina State University
1410646,Role of Defects and Stacking-Fault Energy in Deformation and Fracture of Nanotwinned Metals,9/1/14,8/31/17,285000,Standard Grant,Frederic Sansoz;,University of Vermont & State Agricultural College
1410649,US Ireland R&D Partnership: Ferroelectric and Electroclinic Effects in Nano-particle Doped de Vries Smectic Liquid Crystals: Molecular Organisation and Order,9/1/14,8/31/17,385000,Standard Grant,Satyendra Kumar;Dena Agra-Kooijman;,Kent State University
1410657,"Nodal count, magnetic potentials and Dirac cones: exploring the connections",7/1/14,6/30/17,196937,Standard Grant,Gregory Berkolaiko;,Texas A&M University Main Campus
1410660,Ultrafast study of spin-orbit materials by time and spin resolved photoemission spectroscopy,8/15/14,7/31/17,100000,Continuing grant,Alessandra Lanzara;,University of California-Berkeley
1410663,"Collaborative Research: RAPID Assessment of 2013 Flood Sedimentation, Button Rock Reservoir, North St. Vrain Watershed, CO",12/15/13,11/30/14,8407,Standard Grant,Brandon McElroy;,University of Wyoming
1410665,Emergent Quantum Phenomena in Topological Kondo Insulators,8/1/14,7/31/17,280000,Continuing grant,Richard Greene;,University of Maryland College Park
1410670,Microstructural and Electrical Characterization of Novel Porous ZrO2-based NOx Sensors,8/15/14,7/31/17,200000,Continuing grant,Erica Murray;,Louisiana Tech University
1410674,Fundamental studies of liquid crystal nanodroplets,8/1/14,7/31/17,230000,Continuing grant,Juan De Pablo;,University of Chicago
1410678,Mechanism and Design of Elastomeric Proteins,9/1/14,8/31/17,169888,Continuing grant,Richard Wittebort;Balaji Panchapakesan;Ronald Koder;,University of Louisville Research Foundation Inc
1410680,Magnetic Nanostructures through Metallic Dewetting,9/1/14,8/31/17,229957,Continuing grant,Sara Majetich;,Carnegie-Mellon University
1410683,"Digitization TCN: Collaborative: Documenting the Occurrence through Space & Time of Aquatic Non-indigenous Fish, Mollusks, Algae, & Plants Threatening North America's Great Lakes",6/15/14,5/31/17,614732,Continuing grant,Kenneth Cameron;,University of Wisconsin-Madison
1410688,"Collaborative Research: Bacterial manganese(IV) oxide biomineralization: Mechanism of Mn(II,III) oxidation by the multicopper oxidase complex",8/1/14,7/31/17,258101,Continuing grant,Bradley Tebo;,Oregon Health and Science University
1410701,Sixth Iberoamerican congress on geometry,5/1/14,4/30/16,49000,Standard Grant,Linda Keen;Ara Basmajian;,CUNY Hunter College
1410712,A Novel Gap Spectroscopy Tool and Discovery of New Nodal Superconductors,7/15/14,6/30/17,358972,Standard Grant,Steven Anlage;,University of Maryland College Park
1410714,Phase-field Modeling of Flexoelectric Contributions to Ferroelectricity,9/1/14,8/31/17,210000,Continuing grant,Long-Qing Chen;,Pennsylvania State Univ University Park
1410718,"Shape Persistent, Dynamic, and Liquid Crystalline Materials for Sensor and Electronic Devices",7/1/14,6/30/17,525000,Standard Grant,Timothy Swager;,Massachusetts Institute of Technology
1410719,COLLABORATIVE RESEARCH: Observing the Epoch of Reionization with the Murchison Widefield Array,8/15/14,7/31/17,201366,Standard Grant,Judd Bowman;Daniel Jacobs;,Arizona State University
1410727,"Novel Optical Hosts: Chemistry, Single Crystal Growth and Applications",7/1/14,6/30/17,309671,Continuing grant,Joseph Kolis;,Clemson University
1410728,At the Turn of the Tide: Cool Gas and Star Formation in Galaxy Clusters,9/1/14,8/31/17,316563,Standard Grant,Kim-Vy Tran;,Texas A&M University Main Campus
1410735,Self-assembly of Topologically Distinct Colloid Particles in Partially Ordered Fluids,9/1/14,8/31/17,260000,Continuing grant,Ivan Smalyukh;,University of Colorado at Boulder
1410736,"RUI: CDS&E: Organic Molecular Crystal Properties Database for the Discovery of Unique Organic Conductors, Small Band-gap Semiconductors, and Chemical Trends",7/1/14,6/30/17,320000,Standard Grant,Bohdan Schatschneider;,Pennsylvania State Univ University Park
1410741,Tunable interface properties of correlated and topological materials,4/15/15,3/31/18,206000,Continuing grant,Ilya Vekhter;,Louisiana State University & Agricultural and Mechanical College
1410751,SusChEM: Engineered protein-based biofilms as functional advanced materials,7/1/14,6/30/19,500000,Standard Grant,Neel Joshi;,Harvard University
1410765,GOALI: Strained Layer Heterostructures for GaN-on-Si Epitaxy,7/1/14,6/30/17,390000,Standard Grant,Robert Beach;Joan Redwing;,Pennsylvania State Univ University Park
1410771,ATD: Collaborative Research: Statistical Ensembles for the Identification of Bacterial Genomes,8/1/13,7/31/15,495318,Continuing grant,Jennifer Clarke;,University of Nebraska-Lincoln
1410787,Research Initiation Award: Investigating optical properties of urban aerosols for monitoring fine air particulate matter,7/1/14,6/30/16,196729,Standard Grant,Zhiming Yang;,North Carolina Central University
1410798,Physics of Bacteria Living in Gels: Host-Bacteria Interactions,9/1/14,8/31/17,514945,Standard Grant,Rama Bansil;,Trustees of Boston University
1410800,Ongoing Accretion onto a Galactic Disk and Primordial Galaxies,9/1/14,8/31/17,83828,Continuing grant,Mary Putman;,Columbia University
1410825,Synthesis and Directed Assembly of Bio-Hybrid Materials with Membrane-Protein-Mediated Transport Performance,8/15/14,7/31/17,420000,Standard Grant,Hongjun Liang;,Colorado School of Mines
1410839,Science and Schema for Directed Self-Assembly of Heteroepitaxial Quantum Dot Crystals Near the Intrinsic Length Scale,7/1/14,6/30/17,324894,Standard Grant,J. Floro;,University of Virginia Main Campus
1410840,Simulating Non-equilibrium Processes over Extended Time- and Length-Scales using Parallel Accelerated Dynamics,9/1/14,8/31/17,200000,Continuing grant,Jacques Amar;,University of Toledo
1410845,Catalysis of Microstructure Evolution in Block Copolymer Blend Materials Through Dynamic Modulation of Filler/Matrix Interactions,7/1/14,6/30/17,120000,Continuing grant,Michael Bockstaller;,Carnegie-Mellon University
1410846,"High Temperature, Topological Superconductivity via the Proximity Effect",7/15/14,6/30/17,342988,Standard Grant,Kenneth Burch;,Boston College
1410850,GOALI - Collaborative Research: The Impact of Chemically Induced Stresses on Kinetic Processes and Degradation Mechanisms in Non-Stoichiometric Oxides,8/15/14,7/31/18,125000,Continuing grant,Yue Qi;,Michigan State University
1410853,"Automatically Resisting, Releasing, and Killing Bacteria Using a Single Peptide",8/15/14,7/31/17,97473,Continuing grant,Zhiqiang Cao;,Wayne State University
1410854,Macromolecular crowding in vitro and in cells,9/1/14,8/31/19,230030,Continuing grant,Matthew Redinbo;Gary Pielak;,University of North Carolina at Chapel Hill
1410862,Collaborative research: RUI: Two-dimensional wave patterns and physical applications of Kadomtsev-Petviashvili web-solitons,7/1/14,6/30/17,149996,Standard Grant,Sarbarish Chakravarty;,University of Colorado at Colorado Springs
1410869,Magnetodielectric Coupling in Nanostructured Multiferroics,7/15/14,6/30/17,247492,Continuing grant,Ratnakar Palai;,University of Puerto Rico-Rio Piedras
1410873,Collaborative Research: Understanding Bacterial Flagellar Propulsion,8/15/14,7/31/17,149999,Standard Grant,Boyce Griffith;,University of North Carolina at Chapel Hill
1410874,Collaborative Research: Fundamental Studies of the Properties of B-III-N Wide-Bandgap Semiconductor Alloys,7/1/14,6/30/17,98665,Continuing grant,Russell Dupuis;Theeradetch Detchprohm;,Georgia Tech Research Corporation
1410883,Collaborative Research: GOALI: Experimentally-Validated Computational Approach to Developing and Predicting Kinetics in Anisotropic Systems,9/1/14,8/31/17,250367,Standard Grant,Michele Manuel;,University of Florida
1410886,Collaborative Research: Understanding Bacterial Flagellar Propulsion,8/15/14,7/31/17,200000,Standard Grant,Sookkyung Lim;,University of Cincinnati Main Campus
1410888,"Defect-Managed, High-Mobility Oxide Thin Films and Heterostructures for Fundamental Study",9/15/14,8/31/18,366000,Standard Grant,Bharat Jalan;,University of Minnesota-Twin Cities
1410896,"Continuing operation of the High Elevation Antarctic Terahertz telescope at Ridge A, Antarctica",10/1/14,9/30/16,273715,Standard Grant,Craig Kulesa;Christopher Walker;,University of Arizona
1410907,Collaborative Research: Extrinsic Size Effects in Ferroelectric Thin Films,8/15/14,7/31/18,232701,Continuing grant,Susan Trolier-McKinstry;,Pennsylvania State Univ University Park
1410911,Evolution of bioluminescence in millipedes,8/10/13,7/31/15,82525,Standard Grant,Paul Marek;,Virginia Polytechnic Institute and State University
1410915,EAGER: Earth Abundant Element Nitride Semiconductors Based on ZnSnN2,12/1/13,7/31/16,171970,Continuing grant,Steven Durbin;,Western Michigan University
1410926,Towards a More Accurate Model of the Plasma Membrane: Influence of Cholesterol on Phase Behavior and Nonrandom mixing of Membrane Components,7/1/14,6/30/17,626044,Continuing grant,Gerald Feigenson;,Cornell University
1410928,Curvature-dependent polymer hydration in biomaterials,9/15/14,8/31/17,300000,Standard Grant,Elena Dormidontova;,University of Connecticut
1410935,Pathological Dynamics in a Neuron/Astrocyte Network Model,7/1/14,6/30/17,147078,Continuing grant,David Terman;,Ohio State University
1410936,Investigation of Degradation Mechanisms in Layered Oxide Cathodes for Na Ion Batteries,9/1/14,8/31/17,250000,Continuing grant,Ting Zhu;Hailong Chen;,Georgia Tech Research Corporation
1410937,"Algorithms, States, and Dynamics in Models of Disordered Matter",9/1/14,8/31/17,210000,Continuing grant,A. Alan Middleton;,Syracuse University
1410940,Epitaxy in Two Dimensions: Novel Structures and New Physics,8/1/14,7/31/17,450242,Standard Grant,Gerd Duscher;Gong Gu;,University of Tennessee Knoxville
1410941,Collaborative Research: Tailoring the Stability and Deformation of Nanocrystalline Alloys through Hierarchical Engineering,8/15/14,7/31/17,73044,Continuing grant,Jason Trelewicz;,SUNY at Stony Brook
1410942,Majorana particles in topological insulator quantum wires,9/1/14,8/31/17,140000,Continuing grant,Leonid Rokhinson;Yong Chen;,Purdue University
1410946,GOALI - Collaborative Research: The Impact of Chemically Induced Stresses on Kinetic Processes and Degradation Mechanisms in Non-Stoichiometric Oxides,8/15/14,7/31/18,175000,Continuing grant,Brian Sheldon;Yan Wu;,Brown University
1410950,Testing the Millisecond Magnetar Model for Gamma-Ray Bursts and Superluminous Supernovae,7/15/14,6/30/17,381234,Standard Grant,Brian Metzger;,Columbia University
1410968,Toughness and Friction of Model Polyelectrolyte Gels,9/1/14,8/31/17,125289,Continuing grant,Kenneth Shull;,Northwestern University
1410970,Collaborative Research: Tailoring the Stability and Deformation of Nanocrystalline Alloys through Hierarchical Engineering,8/15/14,7/31/17,60604,Continuing grant,Garritt Tucker;,Drexel University
1410972,Investigations in Elementary Particle Physics and Particle Astrophysics,7/1/14,6/30/17,1090000,Continuing grant,Joey Huston;Raymond Brock;Carl Bromberg;Kirsten Tollefson;James Linnemann;,Michigan State University
1410978,Collaborative Research: Multicellular Communication in Gradient Sensing,5/15/15,4/30/18,65974,Continuing grant,Ilya Nemenman;,Emory University
1410983,Linking Fundamental Structural and Physical Properties of the MAX Phases at Finite Temperatures through Synergetic Experimental and Computational Research,7/1/14,6/30/17,440104,Standard Grant,Miladin Radovic;Raymundo Arroyave;,Texas A&M Engineering Experiment Station
1410985,Design of Tough Resilient Gels Using Adhesive Rigid-Rod Polymers,7/15/14,6/30/17,120000,Continuing grant,Megan Valentine;,University of California-Santa Barbara
1410987,Targeted delivery of antimicrobial peptides to intracellular bacterial pathogens,8/1/14,7/31/17,300000,Continuing grant,Mohamed Seleem;Yoon Yeo;Alyssa Panitch;,Purdue University
1411008,Strain physics in graphene - from friction to pseudo magnetic fields,9/1/14,8/31/17,539294,Standard Grant,Anna Swan;Bennett Goldberg;,Trustees of Boston University
1411014,Ceramic Quasicrystals,8/15/14,7/31/17,182244,Continuing grant,Nicholas Kotov;Sharon Glotzer;,University of Michigan Ann Arbor
1411022,Collaborative Research: Fundamental Studies of the Properties of B-III-N Wide-Bandgap Semiconductor Alloys,7/1/14,6/30/17,70000,Continuing grant,Fernando Ponce;,Arizona State University
1411024,Driving forces and orientation selection during texture transformations in thin metal films,9/1/14,8/31/17,130000,Continuing grant,Shefford Baker;,Cornell University
1411031,Research Initiation Award: Arsenic speciation in sulfidic environments,8/1/14,7/31/16,199812,Standard Grant,Jianye Zhang;,Voorhees College
1411032,In Situ Determination of Phase Equilibria and Thermal Expansions in the Ternary Hafnia-Tantala-Titania System,6/15/14,5/31/17,357968,Standard Grant,Waltraud Kriven;,University of Illinois at Urbana-Champaign
